Open,High,Low,Close,Volume,Adj Close,Action
557.15,562.90,556.04,562.12,1463500,562.12,SELL
558.06,558.06,548.93,556.33,1732000,556.33,SELL
546.40,554.95,544.45,553.90,1684500,553.90,BUY
541.50,548.61,538.75,544.66,1811500,544.66,SELL
550.99,552.34,542.55,544.94,1861500,544.94,SELL
560.70,560.90,545.73,553.93,1431100,553.93,BUY
560.80,561.35,555.91,559.89,1766300,559.89,SELL
563.35,564.00,558.71,560.08,1350400,560.08,BUY
564.57,567.84,561.00,561.68,1647500,561.68,SELL
556.00,566.00,554.35,565.95,2098400,565.95,SELL
547.26,553.64,543.70,552.70,1926900,552.70,BUY
541.13,547.60,540.78,545.06,1611400,545.06,BUY
532.90,539.18,531.91,538.94,1193000,538.94,BUY
529.74,536.23,526.30,529.77,1779900,529.77,SELL
519.70,529.78,517.58,528.86,1274300,528.86,BUY
521.39,521.80,515.44,520.63,1481200,520.63,SELL
525.70,525.87,517.42,519.98,1699700,519.98,SELL
533.00,533.00,525.29,526.65,1188500,526.65,BUY
530.89,536.07,529.51,533.09,1648900,533.09,SELL
523.51,530.19,519.01,529.92,1907300,529.92,SELL
510.75,519.90,504.20,518.73,2432800,518.73,SELL
508.46,517.23,506.45,511.00,2015800,511.00,BUY
515.79,516.68,503.30,509.96,3215500,509.96,SELL
525.23,526.81,515.06,515.14,1684400,515.14,BUY
524.82,528.90,521.32,527.81,1021300,527.81,BUY
533.76,534.00,525.61,527.93,1683900,527.93,SELL
527.11,532.93,523.88,531.35,1900300,531.35,SELL
527.60,528.00,522.52,526.66,1746400,526.66,BUY
516.90,529.46,516.32,527.70,2691700,527.70,SELL
517.18,518.60,502.80,517.15,3326400,517.15,SELL
522.51,524.70,515.42,516.18,2094600,516.18,BUY
530.07,531.65,522.12,525.16,1878000,525.16,BUY
533.79,533.87,526.25,526.94,2046700,526.94,SELL
528.64,537.23,527.51,534.81,2358900,534.81,SELL
536.10,536.70,525.60,528.62,2559700,528.62,SELL
548.81,549.50,531.15,536.10,6790900,536.10,SELL
543.00,557.00,540.00,556.54,4879900,556.54,BUY
536.82,538.45,518.46,536.44,3844500,536.44,BUY
538.25,544.10,529.56,532.52,2568000,532.52,BUY
532.55,540.00,526.53,530.60,3914100,530.60,SELL
565.00,565.00,539.90,540.95,4025800,540.95,SELL
559.62,565.37,552.95,564.14,3321700,564.14,BUY
542.60,555.00,541.61,554.90,3142600,554.90,BUY
540.74,548.48,527.15,538.15,4389600,538.15,SELL
574.65,577.77,543.00,543.14,6351900,543.14,SELL
569.85,587.28,564.13,569.74,5085200,569.74,BUY
599.99,604.83,562.19,567.00,146700,567.00,BUY
558.71,568.45,558.71,567.16,7900,567.16,BUY
566.89,567.00,556.93,556.97,10800,556.97,SELL
561.20,566.43,558.67,559.99,41100,559.99,SELL
568.00,568.00,552.92,558.46,13100,558.46,BUY
